/a/abbey 0,/a/outdoor 0
/a/airport_terminal 1,/a/indoor 1
/a/alley 2,/a/outdoor 2
/a/amphitheater 3,/a/outdoor 3
/a/amusement_park 4,/a/outdoor 4
/a/aquarium 5,/a/indoor 5
/a/aqueduct 6,/a/outdoor 6
/a/arch 7,/a/outdoor 7
/a/art_gallery 8,/a/indoor 8
/a/art_studio 9,/a/indoor 9
/a/assembly_line 10,/a/indoor 10
/a/attic 11,/a/indoor 11
/a/auditorium 12,/a/outdoor 12
/a/apartment_building/outdoor 13,/a/outdoor 13
/b/badlands 14,/b/outdoor 14
/b/ballroom 15,/b/indoor 15
/b/bamboo_forest 16,/b/outdoor 16
/b/banquet_hall 17,/b/indoor 17
/b/bar 18,/b/indoor 18
/b/baseball_field 19,/b/outdoor 19
/b/basement 20,/b/indoor 20
/b/basilica 21,/b/outdoor 21
/b/bayou 22,/b/outdoor 22
/b/beauty_salon 23,/b/indoor 23
/b/bedroom 24,/b/indoor 24
/b/boardwalk 25,/b/outdoor 25
/b/boat_deck 26,/b/outdoor 26
/b/bookstore 27,/b/indoor 27
/b/botanical_garden 28,/b/outdoor 28
/b/bowling_alley 29,/b/indoor 29
/b/boxing_ring 30,/b/indoor 30
/b/bridge 31,/b/outdoor 31
/b/building_facade 32,/b/outdoor 32
/b/bus_interior 33,/b/indoor 33
/b/butchers_shop 34,/b/indoor 34
/b/butte 35,/b/outdoor 35
/b/bakery/shop 36,/b/indoor 36
/c/cafeteria 37,/c/indoor 37
/c/campsite 38,/c/outdoor 38
/c/candy_store 39,/c/indoor 39
/c/canyon 40,/c/outdoor 40
/c/castle 41,/c/outdoor 41
/c/cemetery 42,/c/outdoor 42
/c/chalet 43,/c/outdoor 43
/c/classroom 44,/c/indoor 44
/c/closet 45,/c/indoor 45
/c/clothing_store 46,/c/indoor 46
/c/coast 47,/c/outdoor 47
/c/cockpit 48,/c/indoor 48
/c/coffee_shop 49,/c/indoor 49
/c/conference_center 50,/c/indoor 50
/c/conference_room 51,/c/indoor 51
/c/construction_site 52,/c/outdoor 52
/c/corn_field 53,/c/outdoor 53
/c/corridor 54,/c/indoor 54
/c/cottage_garden 55,/c/outdoor 55
/c/courthouse 56,/c/outdoor 56
/c/courtyard 57,/c/outdoor 57
/c/creek 58,/c/outdoor 58
/c/crevasse 59,/c/outdoor 59
/c/crosswalk 60,/c/outdoor 60
/c/cathedral/outdoor 61,/c/outdoor 61
/c/church/outdoor 62,/c/outdoor 62
/d/dam 63,/d/outdoor 63
/d/dining_room 64,/d/indoor 64
/d/dock 65,/d/outdoor 65
/d/dorm_room 66,/d/indoor 66
/d/driveway 67,/d/outdoor 67
/d/desert/sand 68,/d/outdoor 68
/d/desert/vegetation 69,/d/outdoor 69
/d/dinette/home 70,/d/indoor 70
/d/doorway/outdoor 71,/d/outdoor 71
/e/engine_room 72,/e/indoor 72
/e/excavation 73,/e/outdoor 73
/f/fairway 74,/f/outdoor 74
/f/fire_escape 75,/f/outdoor 75
/f/fire_station 76,/f/outdoor 76
/f/food_court 77,/f/indoor 77
/f/forest_path 78,/f/outdoor 78
/f/forest_road 79,/f/outdoor 79
/f/formal_garden 80,/f/outdoor 80
/f/fountain 81,/f/outdoor 81
/f/field/cultivated 82,/f/outdoor 82
/f/field/wild 83,/f/outdoor 83
/g/galley 84,/g/outdoor 84
/g/game_room 85,/g/indoor 85
/g/garbage_dump 86,/g/outdoor 86
/g/gas_station 87,/g/outdoor 87
/g/gift_shop 88,/g/indoor 88
/g/golf_course 89,/g/outdoor 89
/h/harbor 90,/h/outdoor 90
/h/herb_garden 91,/h/outdoor 91
/h/highway 92,/h/outdoor 92
/h/home_office 93,/h/indoor 93
/h/hospital 94,/h/outdoor 94
/h/hospital_room 95,/h/indoor 95
/h/hot_spring 96,/h/outdoor 96
/h/hotel_room 97,/h/indoor 97
/h/hotel/outdoor 98,/h/outdoor 98
/i/ice_cream_parlor 99,/i/indoor 99
/i/iceberg 100,/i/outdoor 100
/i/igloo 101,/i/outdoor 101
/i/islet 102,/i/outdoor 102
/i/ice_skating_rink/outdoor 103,/i/outdoor 103
/i/inn/outdoor 104,/i/outdoor 104
/j/jail_cell 105,/j/indoor 105
/k/kasbah 106,/k/outdoor 106
/k/kindergarden_classroom 107,/k/indoor 107
/k/kitchen 108,/k/indoor 108
/k/kitchenette 109,/k/indoor 109
/l/laundromat 110,/l/indoor 110
/l/lighthouse 111,/l/outdoor 111
/l/living_room 112,/l/indoor 112
/l/lobby 113,/l/indoor 113
/l/locker_room 114,/l/indoor 114
/m/mansion 115,/m/outdoor 115
/m/marsh 116,/m/outdoor 116
/m/martial_arts_gym 117,/m/indoor 117
/m/mausoleum 118,/m/outdoor 118
/m/medina 119,/m/outdoor 119
/m/motel 120,/m/motel 120
/m/mountain 121,/m/outdoor 121
/m/mountain_snowy 122,/m/outdoor 122
/m/music_studio 123,/m/indoor 123
/m/market/outdoor 124,/m/outdoor 124
/m/monastery/outdoor 125,/m/outdoor 125
/m/museum/indoor 126,/m/indoor 126
/n/nursery 127,/n/indoor 127
/o/ocean 128,/o/outdoor 128
/o/office 129,/o/indoor 129
/o/office_building 130,/o/outdoor 130
/o/orchard 131,/o/outdoor 131
/p/pagoda 132,/p/outdoor 132
/p/palace 133,/p/outdoor 133
/p/pantry 134,/p/indoor 134
/p/parking_lot 135,/p/outdoor 135
/p/parlor 136,/p/indoor 136
/p/pasture 137,/p/outdoor 137
/p/patio 138,/p/outdoor 138
/p/pavilion 139,/p/pavilion 139
/p/phone_booth 140,/p/outdoor 140
/p/picnic_area 141,/p/outdoor 141
/p/playground 142,/p/outdoor 142
/p/plaza 143,/p/outdoor 143
/p/pond 144,/p/outdoor 144
/p/pulpit 145,/p/indoor 145
/r/racecourse 146,/r/outdoor 146
/r/raft 147,/r/outdoor 147
/r/railroad_track 148,/r/outdoor 148
/r/rainforest 149,/r/outdoor 149
/r/reception 150,/r/indoor 150
/r/residential_neighborhood 151,/r/outdoor 151
/r/restaurant 152,/r/indoor 152
/r/restaurant_kitchen 153,/r/indoor 153
/r/restaurant_patio 154,/r/outdoor 154
/r/rice_paddy 155,/r/outdoor 155
/r/river 156,/r/outdoor 156
/r/rock_arch 157,/r/outdoor 157
/r/rope_bridge 158,/r/outdoor 158
/r/ruin 159,/r/outdoor 159
/r/runway 160,/r/outdoor 160
/s/sandbar 161,/s/outdoor 161
/s/schoolhouse 162,/s/outdoor 162
/s/sea_cliff 163,/s/outdoor 163
/s/shed 164,/s/shed 164
/s/shoe_shop 165,/s/indoor 165
/s/shopfront 166,/s/outdoor 166
/s/shower 167,/s/indoor 167
/s/ski_resort 168,/s/outdoor 168
/s/ski_slope 169,/s/outdoor 169
/s/sky 170,/s/outdoor 170
/s/skyscraper 171,/s/outdoor 171
/s/slum 172,/s/outdoor 172
/s/snowfield 173,/s/outdoor 173
/s/staircase 174,/s/indoor 174
/s/supermarket 175,/s/indoor 175
/s/swamp 176,/s/outdoor 176
/s/stadium/baseball 177,/s/stadium/baseball 177
/s/stadium/football 178,/s/outdoor 178
/s/stage/indoor 179,/s/indoor 179
/s/subway_station/platform 180,/s/subway_station/platform 180
/s/swimming_pool/outdoor 181,/s/outdoor 181
/t/television_studio 182,/t/indoor 182
/t/topiary_garden 183,/t/outdoor 183
/t/tower 184,/t/outdoor 184
/t/train_railway 185,/t/outdoor 185
/t/tree_farm 186,/t/outdoor 186
/t/trench 187,/t/outdoor 187
/t/temple/east_asia 188,/t/outdoor 188
/t/temple/south_asia 189,/t/outdoor 189
/t/track/outdoor 190,/t/outdoor 190
/t/train_station/platform 191,/t/train_station/platform 191
/u/underwater/coral_reef 192,/u/outdoor 192
/v/valley 193,/v/valley 193
/v/vegetable_garden 194,/v/outdoor 194
/v/veranda 195,/v/outdoor 195
/v/viaduct 196,/v/outdoor 196
/v/volcano 197,/v/outdoor 197
/w/waiting_room 198,/w/indoor 198
/w/water_tower 199,/w/outdoor 199
/w/watering_hole 200,/w/outdoor 200
/w/wheat_field 201,/w/outdoor 201
/w/wind_farm 202,/w/outdoor 202
/w/windmill 203,/w/outdoor 203
/y/yard 204,/y/outdoor 204
